"Категория
Помещения";"Имя
Содержит";"Категория 
смежного 
Помещения";"Имя
Смежного
Помещения
Содержит";EI (Х);W (Х);S (Х);0 (Х);15 (Х);30 (Х);60 (Х);90 (Х);Производитель (Н,Г…);Порог (мм,А);Заполнение (С,Г,П);Петли (Н,С);Материал (С,А,Д);Уплотнитель (Х);Утеплитель (Х);Геркон (Х);Ручка (Н,АП,АБ,В,К);СКУД (Х);Замок (Э,М,Ц,Т,Г);Влагостойкая (Х);Коробка (Б,У,С);Доводчик (Х);Домофон (Х);Расположение В,Н);Звукоизоляция (Х)
"Места общего пользования
Нежилые помещения
Офис опенспейс
Жилые помещения";коридор;;;;;;;;;;;;12;;С;С;;;;;Х;;;С;Х;;В;Х
Технические помещения;коридор;;;;;;;;;;;;12;;Н;С;;;;;;;;Б;;;В;
Места общего пользования;Тамбур;;;;;;;;;;;Н;12;Г;Н;С;Х;;Х;Н;Х;;;Б;Х;;В;
Места общего пользования;Тамбур-шлюз;;;Х;;;;;;Х;;Н;12;Г;Н;С;Х;Х;Х;Н;Х;;Х;Б;Х;;В;Х
"Нежилые помещения
Технические помещения";"Лифтовый холл
ЛХ";;;Х;;;;;;Х;;Н;12;Г;С;С;Х;;Х;Н;Х;Ц;;Б;Х;;В;
Места общего пользования;"Лифтовый холл
ЛХ";;;Х;Х;;;;;Х;;Н;А;О;С;С;Х;;Х;Н;Х;Ц;;С;Х;;В;
Лестницы;"Лестничная клетка
ЛК
Лестница";;;Х;;Х;;;;Х;;Н;12;Г;;С;Х;;Х;;Х;Э;;У;Х;;В;Х
;Холл;;;;;;;;;;;Н;12;О;С;С;;;;;;;;;;;В;
;Вестибюль;;;Х;;;;;Х;;;Н;12;О;С;С;;;;;;;;;;;В;
"офис опенспейс
Нежилые помещения";"Офис
Опенспейс
Рецепшн
Ресепшн
Приёмная";;;;;;;;;;;Н;А;О;С;С;;;;Н;Х;Э;;Б;Х;;В;
Нежилые помещения;"конференц
Переговорная
Зал";;;Х;;Х;;;Х;;;Н;А;О;С;С;;;;Н;Х;Э;;Б;Х;;В;Х
Отверстие;Лифтовая шахта;;;Х;;Х;;;;Х;;Л;12;Г;Н;С;Х;;Х;В;;;;У;;;В;
Технические помещения;Форкамера;;;;;;;;;;;С;12;Г;Н;С;Х;Х;Х;К;;З;Х;У;;;Н;
Отверстие;Шахта;;;;;;;;;;;;12;Г;Н;С;Х;Х;Х;Н;Х;Ц;Х;Б;Х;;Н;Х
Технические помещения;"ЭОМ
CC";;;Х;;;;Х;;;;;12;Г;Н;С;;;Х;Н;;;;;;;В;
Технические помещения;"ГРЩ
ВРУ
Электрощитовая
АУПТВПВ
КСК";;;Х;;;;Х;;;;;12;Г;Н;С;;;Х;Н;;Ц;;Б;;;В;
Технические помещения;Кроссовая;;;;;;;;;;;;12;Г;Н;С;;;Х;Н;;Ц;;Б;;;В;
Технические помещения;ВК;;;;;;;;;;;;12;Г;Н;С;Х;;Х;Н;;Ц;Х;Б;;;В;
Технические помещения;ОВ;;;Х;;;;;Х;;;;12;Г;Н;С;Х;;Х;Н;;Ц;Х;Б;Х;;В;Х
Технические помещения;"ПД
Приточная венткамера
ДУ";;;Х;;;;;;Х;;;12;Г;Н;С;Х;;Х;Н;;Ц;Х;Б;Х;;В;Х
Отверстие;ПД;;;;;;;;;;;;12;П;;;;;Х;В;;Ц;Х;Б;;;В;
Технические помещения;"ТС
ХС";;;;;;;;;;;;12;Г;Н;С;;;;;;;;;;;В;
Технические помещения;"Хладоцентр
Холодильная
Морозильная";;;;;;;;;;;;12;Г;Н;С;Х;Х;Х;Н;;Ц;Х;Б;Х;;В;
Летние помещения;"Терраса
Кровля";;;Х;;;;;Х;;;Н;12;Г;С;С;Х;Х;Х;Н;Х;Э;Х;Б;Х;;Н;
Отверстие;"ПК
ХС
ТС
ВК
ОВ
СС
ЭОМ";;;;;;;;;;;;12;Г;;;;;Х;В;;Ц;Х;Б;;;В;
;ПИК;;;;;;;;;;;;12;Г;;С;;;;;;;;;;;В;
;СБ;;;;;;;;;;;;12;Г;;С;;;;;;;;;;;В;
;СПЗ;;;;;;;;;;;;12;Г;;С;;;;;;;;;;;В;
;ИТП;;;;;;;;;;;;12;Г;;С;;;;;;;;;;;В;
;Узловая КСК;;;;;;;;;;;;12;Г;;С;;;;;;;;;;;В;
;ПУО;;;;;;;;;;;;12;Г;;С;;;;;;;;;;;В;
;СУМС;;;;;;;;;;;;12;Г;;С;;;;;;;;;;;В;
;Машинное помещение;;;;;;;;;;;;12;Г;;С;;;;;;;;;;;В;
;"МП
М.П.";;;;;;;;;;;;12;Г;;С;;;;;;;;;;;В;
;Венткамера;;;;;;;;;;;;12;Г;;С;;;;;;;;;;;В;
;Вытяжная венткамера;;;;;;;;;;;;12;Г;;С;;;;;;;;;;;В;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Насосная;;;;;;;;;;;;12;Г;;С;;;;;;;;;;;В;
;Пенообразовател;;;;;;;;;;;;12;Г;;С;;;;;;;;;;;В;
